STT,doc_id,so_hieu,loai_van_ban,tieu_de,nam_ban_hanh
0,1105,không số,luat,luật cải cách ruộng đất,1953
1,888,không số,luat,luật bầu cử đại biểu quốc hội,1959
2,887,không số,luat,luật hôn nhân và gia đình,1959
3,886,không số,luat,luật nghĩa vụ quân sự,1960
4,884,không số,luat,luật tổ chức hội đồng chính phủ,1960
5,883,không số,luat,luật tổ chức quốc hội,1960
6,882,không số,luat,luật tổ chức tòa án nhân dân,1960
7,881,không số,luat,luật tổ chức viện kiểm sát nhân dân,1960
8,1533,không số,luat,luật bầu cử đại biểu quốc hội,1980
9,3871,không số,luat,luật nghĩa vụ quân sự,1981
10,3483,không số,luat,luật bầu cử đại biểu hội đồng nhân dân,1983
11,3637,không số,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1983
12,2798,không số,luat,luật hôn nhân và gia đình,1986
13,2566,không số,luat,luật đất đai,1987
14,2565,không số,luat,luật đầu tư nước ngoài tại việt nam,1987
15,2564,không số,luat,luật thuế xuất khẩu thuế nhập khẩu hàng mậu dịch,1987
16,2558,không số,luat,luật quốc tịch việt nam,1988
17,2325,không số,luat,"luật sửa đổi, bổ sung luật tổ chức tòa án nhân dân",1988
18,2324,không số,luat,"luật sửa đổi, bổ sung luật tổ chức viện kiểm sát nhân dân",1988
19,1817,không số,luat,luật công ty,1990
20,1816,không số,luat,luật doanh nghiệp tư nhân,1990
21,1815,không số,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",1990
22,1814,không số,luat,"luật sửa đổi, bổ sung một số điều của luật về sỹ quan quân đội nhân dân việt nam",1990
23,11596,không số,luat,luật bảo vệ chăm sóc và giáo dục trẻ em,1991
24,11593,không số,luat,luật bảo vệ và phát triển rừng,1991
25,11595,không số,luat,luật phổ cập giáo dục tiểu học,1991
26,11594,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1991
27,10822,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1992
28,10821,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",1992
29,10820,không số,luat,"luật sửa đổi, bổ sung một số điều của luật đầu tư nước ngoài tại việt nam",1992
30,11226,không số,luat,luật tổ chức chính phủ,1992
31,11225,không số,luat,luật tổ chức tòa án nhân dân,1992
32,11224,không số,luat,luật tổ chức viện kiểm sát nhân dân,1992
33,10435,không số,luat,luật bảo vệ môi trường,1993
34,10802,không số,luat,luật đất đai,1993
35,10434,không số,luat,luật phá sản doanh nghiệp,1993
36,10808,20-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật thuế doanh thu",1993
37,10807,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế lợi tức",1993
38,10806,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",1993
39,10805,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế xuất khẩu thuế nhập khẩu",1993
40,10433,29-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức tòa án nhân dân",1993
41,10803,không số,luat,luật thuế sử dụng đất nông nghiệp,1993
42,10804,không số,luat,luật xuất bản,1993
43,10426,35-l/ctn,luat,luật bầu cử đại biểu hội đồng nhân dân,1994
44,10425,không số,luat,luật khuyến khích đầu tư trong nước,1994
45,10422,không số,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",1994
46,10424,không số,luat,luật sửa đổi một số điều của luật công ty,1994
47,10423,không số,luat,luật sửa đổi một số điều của luật doanh nghiệp tư nhân,1994
48,10421,không số,luat,luật thuế chuyển quyền sử dụng đất,1994
49,10420,không số,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1994
50,9955,không số,luat,luật doanh nghiệp nhà nước,1995
51,9954,không số,luat,"luật sửa đổi, bổ sung một số điều của luật hàng không dân dụng việt nam",1995
52,9703,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế doanh thu",1995
53,9684,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",1995
54,9702,không số,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức tòa án nhân dân",1995
55,9028,không số,luat,luật ban hành văn bản quy phạm pháp luật,1996
56,9414,không số,luat,luật hợp tác xã,1996
57,9413,không số,luat,luật khoáng sản,1996
58,9412,không số,luat,luật ngân sách nhà nước,1996
59,30962,06/1997/qh10,luat,luật ngân sách nhà nước,1997
60,8611,không số,luat,luật bầu cử đại biểu quốc hội,1997
61,8205,02/1997/qh10,luat,luật các tổ chức tín dụng,1997
62,8222,01/1997/qh10,luat,luật ngân hàng nhà nước,1997
63,8533,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1997
64,8534,không số,luat,luật thuế giá trị gia tăng,1997
65,8535,không số,luat,luật thuế thu nhập doanh nghiệp,1997
66,8532,không số,luat,luật thương mại,1997
67,7342,11/1998/qh10,luat,luật giáo dục,1998
68,7343,09/1998/qh10,luat,luật khiếu nại tố cáo,1998
69,7750,03/1998/qh10,luat,luật khuyến khích đầu tư trong nước (sửa đổi),1998
70,7754,07/1998/qh10,luat,luật quốc tịch việt nam,1998
71,7344,10/1998/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật đất đai",1998
72,7753,06/1998/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật ngân sách nhà nước",1998
73,7751,04/1998/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật thuế xuất khẩu thuế nhập khẩu",1998
74,7752,08/1998/qh10,luat,luật tài nguyên nước,1998
75,7755,05/1998/qh10,luat,luật thuế tiêu thụ đặc biệt,1998
76,7040,13/1999/qh10,luat,luật doanh nghiệp,1999
77,7041,14/1999/qh10,luat,luật mặt trận tổ quốc việt nam,1999
78,7039,12/1999/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật báo chí",1999
79,6155,17/1999/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật thuế chuyển quyền sử dụng đất",1999
80,6153,16/1999/qh10,luat,luật sỹ quan quân đội nhân dân việt nam,1999
81,6117,22/2000/qh10,luat,luật hôn nhân và gia đình,2000
82,6118,21/2000/qh10,luat,luật khoa học và công nghệ,2000
83,5748,24/2000/qh10,luat,luật kinh doanh bảo hiểm,2000
84,5740,23/2000/qh10,luat,luật phòng chống ma túy,2000
85,6140,20/2000/qh10,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",2000
86,6141,19/2000/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật dầu khí",2000
87,6147,18/2000/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật đầu tư nước ngoài tại việt nam",2000
88,23259,28/2001/qh10,luat,luật di sản văn hoá,2001
89,23289,26/2001/qh10,luat,luật giao thông đường bộ,2001
90,23258,29/2001/qh10,luat,luật hải quan,2001
91,23260,27/2001/qh10,luat,luật phòng cháy và chữa cháy,2001
